"","family",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi","as_of","start_date","end_date"
"1","AUTOMOTIVE",3,"RANDOMFOREST","prediction",2017-08-16,0.0957667143403926,-3.71815389258199,3.90968732126278,2024-05-22,2015-01-01,2017-08-15
"2","AUTOMOTIVE",3,"RANDOMFOREST","prediction",2017-08-17,0.0102242083860608,-3.80369639853633,3.82414481530845,2024-05-22,2015-01-01,2017-08-15
"3","AUTOMOTIVE",3,"RANDOMFOREST","prediction",2017-08-18,0.115435573181043,-3.69848503374134,3.92935618010343,2024-05-22,2015-01-01,2017-08-15
"4","AUTOMOTIVE",3,"RANDOMFOREST","prediction",2017-08-19,0.236708522111305,-3.57721208481108,4.05062912903369,2024-05-22,2015-01-01,2017-08-15
"5","AUTOMOTIVE",3,"RANDOMFOREST","prediction",2017-08-20,-0.779651247128237,-4.59357185405062,3.03426935979415,2024-05-22,2015-01-01,2017-08-15
"6","AUTOMOTIVE",3,"RANDOMFOREST","prediction",2017-08-21,0.134274220289435,-3.67964638663295,3.94819482721182,2024-05-22,2015-01-01,2017-08-15
"7","AUTOMOTIVE",3,"RANDOMFOREST","prediction",2017-08-22,0.13192602948249,-3.6819945774399,3.94584663640488,2024-05-22,2015-01-01,2017-08-15
"8","AUTOMOTIVE",3,"RANDOMFOREST","prediction",2017-08-23,0.0957667143403926,-3.71815389258199,3.90968732126278,2024-05-22,2015-01-01,2017-08-15
"9","AUTOMOTIVE",3,"RANDOMFOREST","prediction",2017-08-24,0.0102242083860608,-3.80369639853633,3.82414481530845,2024-05-22,2015-01-01,2017-08-15
"10","AUTOMOTIVE",3,"RANDOMFOREST","prediction",2017-08-25,0.115435573181043,-3.69848503374134,3.92935618010343,2024-05-22,2015-01-01,2017-08-15
"11","AUTOMOTIVE",3,"RANDOMFOREST","prediction",2017-08-26,0.236708522111305,-3.57721208481108,4.05062912903369,2024-05-22,2015-01-01,2017-08-15
"12","AUTOMOTIVE",3,"RANDOMFOREST","prediction",2017-08-27,-0.779651247128237,-4.59357185405062,3.03426935979415,2024-05-22,2015-01-01,2017-08-15
"13","AUTOMOTIVE",3,"RANDOMFOREST","prediction",2017-08-28,0.134274220289435,-3.67964638663295,3.94819482721182,2024-05-22,2015-01-01,2017-08-15
"14","AUTOMOTIVE",3,"RANDOMFOREST","prediction",2017-08-29,0.13192602948249,-3.6819945774399,3.94584663640488,2024-05-22,2015-01-01,2017-08-15
"15","AUTOMOTIVE",3,"RANDOMFOREST","prediction",2017-08-30,0.0957667143403926,-3.71815389258199,3.90968732126278,2024-05-22,2015-01-01,2017-08-15
